Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
16176,1.2,Ideal,G,VS2,,54.7,6.79,6.85,4.25,8040
19965,1.22,Good,J,SI1,63.8,57.0,6.77,6.72,4.3,4612
8831,1.35,Premium,J,SI1,62.1,54.0,7.15,7.09,4.42,4082
18806,1.5,Ideal,G,VS2,62.5,55.0,7.26,7.23,4.53,12787
9939,1.07,Premium,I,SI1,61.2,58.0,6.62,6.55,4.03,4126
24455,0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63,2782
16555,0.51,Very Good,F,SI1,62.5,59.0,5.08,5.1,3.18,1203
6835,0.32,Ideal,G,VVS1,61.4,57.0,4.42,4.44,2.72,814
4449,0.23,Good,F,VVS1,58.1,52.0,4.03,4.1,2.36,458
9988,1.04,Ideal,H,SI2,59.6,56.0,6.64,6.59,3.94,4077
3713,0.73,Fair,I,VS1,55.9,66.0,6.11,6.01,3.39,2330
3402,0.7,Premium,E,VVS2,60.6,60.0,5.74,5.72,3.47,3377
22573,0.33,Ideal,G,VVS2,61.9,55.0,4.41,4.44,2.74,713
12799,0.98,Fair,G,I1,68.0,63.0,6.13,6.02,4.13,1749
10802,0.96,Good,H,SI2,60.1,64.0,6.43,6.35,3.84,3548
25680,0.3,Very Good,E,VS2,61.6,61.0,4.26,4.31,2.64,585
4340,0.31,Ideal,D,VS1,60.5,57.0,4.4,4.43,2.67,766
15188,0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,714
5212,1.22,Ideal,F,SI1,62.8,55.0,6.87,6.79,4.29,6456
614,1.51,Good,I,SI2,63.6,60.0,7.27,7.23,4.61,7957
3181,0.55,Good,H,SI1,,55.0,5.23,5.18,3.31,1263
12640,0.71,Premium,D,SI2,61.7,59.0,5.67,5.71,3.51,2743
15727,0.32,Premium,E,SI1,61.9,59.0,4.36,4.39,2.71,561
13692,0.71,Ideal,G,IF,61.8,57.0,5.7,5.75,3.54,3772
18025,1.02,Ideal,G,IF,62.5,57.0,6.44,6.37,4.0,8311
15524,0.4,Ideal,F,IF,61.9,54.0,4.75,4.81,2.96,1406
18793,0.3,Ideal,G,VS1,62.6,57.0,4.29,4.27,2.68,776
13163,0.3,Ideal,D,VS1,62.8,57.0,4.27,4.3,2.69,742
12736,1.54,Ideal,I,VS2,61.9,55.8,7.38,7.43,4.58,9998
1652,0.3,Good,D,SI2,63.3,57.0,4.26,4.3,2.71,447
22179,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,12271
23638,0.31,Very Good,F,VS2,61.4,58.4,4.37,4.4,2.69,667
24321,0.42,Very Good,F,VVS1,61.9,58.0,4.77,4.82,2.97,1391
8325,0.59,Very Good,D,VS2,62.9,56.7,5.37,5.39,3.38,2200
487,0.93,Ideal,I,SI1,62.5,55.0,6.23,6.29,3.91,3856
19949,1.11,Ideal,H,VS2,64.0,58.0,6.52,6.46,4.16,5632
10072,1.0,Premium,D,SI1,62.1,58.0,6.45,6.34,3.97,5488
4692,1.03,Premium,E,SI1,59.5,60.0,6.64,6.56,3.93,6091
1070,1.0,Fair,I,SI1,66.0,56.0,6.31,6.24,4.13,2912
12800,2.1,Very Good,I,VS2,59.4,60.0,8.39,8.47,5.01,17837
2624,0.34,Premium,H,VS2,62.6,60.0,4.42,4.46,2.78,537
8750,0.32,Very Good,F,VS2,60.8,58.0,4.41,4.44,2.69,645
24375,0.72,Premium,G,VS1,62.3,61.0,5.73,5.66,3.55,2646
9450,0.77,Ideal,G,VS2,62.1,56.0,5.84,5.88,3.64,3544
12086,0.41,Very Good,D,SI1,63.0,57.0,4.64,4.7,2.94,717
22803,1.0,Fair,G,SI1,65.7,54.0,6.24,6.16,4.07,2964
2590,0.3,Premium,E,SI1,61.7,56.0,4.29,4.27,2.64,675
17389,0.7,Ideal,E,SI1,60.1,57.0,5.78,5.83,3.49,2929
5677,0.32,Ideal,I,VS1,62.4,56.0,4.37,4.31,2.71,648
13134,0.56,Ideal,E,VS2,61.5,57.0,5.27,5.3,3.25,1819
22432,1.1,Premium,I,SI1,62.7,58.0,6.58,6.54,4.11,4435
11780,0.31,Very Good,G,SI1,63.0,58.0,4.3,4.34,2.72,462
2434,0.3,Very Good,H,VS1,62.0,58.0,4.24,4.28,2.64,526
5801,2.28,Premium,J,VS1,60.3,58.0,8.58,8.53,5.16,16174
7370,0.32,Premium,D,VVS2,,60.0,4.37,4.41,2.7,926
11498,1.55,Very Good,H,VS2,61.3,61.0,7.39,7.46,4.55,11602
16649,0.61,Good,G,VS2,61.2,62.8,5.38,5.42,3.3,1821
16658,0.35,Premium,D,SI1,61.5,58.0,4.55,4.53,2.79,772
2347,1.0,Ideal,H,SI2,62.6,56.0,6.38,6.34,3.98,4256
3940,1.02,Ideal,E,SI1,61.1,56.0,6.51,6.45,3.96,4675
21673,0.53,Good,G,VS2,63.4,58.0,5.13,5.16,3.26,1395
2710,0.34,Premium,E,VS1,59.9,58.0,4.54,4.58,2.73,805
1464,0.34,Good,G,VS2,57.5,61.0,4.66,4.6,2.66,714
6162,1.5,Very Good,H,VS1,60.7,58.0,7.35,7.42,4.48,10681
18297,0.7,Ideal,F,SI1,61.0,56.0,5.75,5.8,3.52,2840
4777,0.31,Ideal,G,VS2,61.4,57.0,4.35,4.45,2.7,544
22475,0.9,Premium,I,SI1,63.0,60.0,6.08,5.99,3.8,3377
16962,1.5,Premium,G,VS2,62.5,59.0,7.27,7.23,4.53,12787
21231,1.0,Good,H,SI1,56.8,65.0,6.61,6.49,3.72,4138
13102,1.66,Ideal,F,SI2,62.6,59.0,7.53,7.57,4.73,10338
9693,0.9,Very Good,G,VS2,58.8,61.0,6.28,6.3,3.7,4400
11705,0.57,Very Good,G,VS2,62.1,57.0,5.27,5.3,3.28,1608
9740,0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,1024
26448,1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,7699
2488,1.48,Very Good,H,SI1,62.5,59.0,7.16,7.23,4.5,8815
9505,0.51,Premium,F,VVS2,61.9,56.0,5.17,5.13,3.19,2310
12834,1.0,Premium,G,SI2,62.2,59.0,6.39,6.35,3.96,4480
3343,0.73,Very Good,D,VS1,62.2,56.0,5.72,5.75,3.57,3856
24085,1.05,Premium,H,I1,62.0,59.0,6.5,6.47,4.02,2881
9918,0.3,Ideal,E,VS1,62.5,54.0,4.27,4.32,2.69,703
16096,1.03,Ideal,G,SI1,60.9,57.0,6.54,6.5,3.97,5037
10817,0.41,Good,F,SI1,63.7,58.0,4.74,4.71,3.01,904
9355,0.31,Ideal,G,VS1,61.3,56.4,4.36,4.39,2.69,652
435,0.51,Good,F,SI1,63.6,56.0,5.11,5.08,3.24,1312
7363,0.39,Very Good,E,VS2,60.9,58.0,4.72,4.77,2.89,793
25407,1.06,Premium,G,VS1,62.2,55.0,6.58,6.51,4.07,6853
13463,0.9,Very Good,G,VS2,61.9,56.0,6.17,6.23,3.84,4269
6944,0.78,Very Good,E,SI1,63.4,56.0,5.84,5.9,3.72,2565
18706,0.91,Very Good,H,VS2,63.1,56.0,6.2,6.13,3.89,3567
20317,2.14,Very Good,J,SI1,62.3,59.0,8.24,8.26,5.14,14556
3074,2.02,Very Good,H,VS2,61.5,59.0,8.08,8.21,5.01,17887
22380,0.32,Good,D,SI1,,56.0,4.37,4.34,2.77,756
10812,1.01,Premium,H,VS2,60.5,58.0,6.46,6.4,3.89,4839
26787,0.72,Very Good,F,VS2,62.5,58.0,5.71,5.75,3.58,2832
8951,0.52,Ideal,D,SI1,61.2,57.0,5.18,5.22,3.18,1429
19031,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,4421
14905,0.54,Premium,D,VS2,60.9,58.0,5.27,5.31,3.22,1892
3137,1.01,Fair,J,VS2,59.6,62.0,6.54,6.49,3.88,3886
21939,0.71,Ideal,J,VS1,61.9,55.0,5.75,5.69,3.54,2034
5107,1.3,Ideal,D,SI1,61.8,56.0,6.93,6.96,4.29,9242
16278,0.42,Premium,D,VVS2,59.6,59.0,4.96,4.9,2.94,1210
21501,1.7,Very Good,H,SI2,63.5,58.0,7.5,7.43,4.74,7235
17723,0.71,Very Good,J,SI2,,58.0,5.67,5.76,3.49,1764
8556,0.5,Very Good,D,VVS2,61.7,59.0,5.02,5.09,3.12,2115
19993,0.58,Good,F,SI1,63.1,57.0,5.29,5.33,3.35,1388
2444,0.7,Premium,G,SI2,61.1,60.0,5.67,5.62,3.45,2177
15798,1.03,Premium,G,VS2,62.3,57.0,6.51,6.43,4.03,6146
10360,0.62,Very Good,D,VS1,63.4,55.0,5.46,5.43,3.45,2310
18739,0.41,Very Good,E,SI1,62.4,55.0,4.74,4.78,2.97,755
16362,0.7,Very Good,E,SI1,62.3,57.0,5.63,5.7,3.53,2604
6299,0.38,Premium,E,VS2,61.8,58.0,4.64,4.61,2.86,1112
18990,0.54,Ideal,F,SI1,61.5,55.0,5.23,5.28,3.23,1260
15895,0.5,Very Good,D,VS2,61.1,58.0,5.07,5.11,3.11,1646
10366,2.01,Premium,J,VS2,60.4,59.0,8.1,8.15,4.91,13619
4316,0.32,Good,G,VS2,56.7,64.0,4.52,4.55,2.57,603
8314,1.03,Ideal,I,VS1,62.4,57.0,6.48,6.4,4.02,4199
17557,0.78,Ideal,J,VS2,62.3,55.0,5.88,5.91,3.67,2456
21508,0.42,Ideal,G,VS1,61.8,56.0,4.84,4.8,2.98,984
17083,0.51,Ideal,E,SI1,60.8,57.0,5.17,5.22,3.16,1437
15091,0.46,Ideal,D,VS2,62.4,56.0,4.98,4.95,3.1,1298
13035,1.21,Premium,G,VS2,60.3,60.0,6.89,6.83,4.14,8294
2992,1.25,Ideal,G,VVS2,61.5,55.0,6.92,6.94,4.26,10636
25278,0.39,Ideal,J,SI1,61.0,56.0,4.71,4.73,2.88,568
